source_id,gender,master_category,sub_category,article_type,base_colour,season,year,usage,product_display_name,image_url
18461,Men,Personal Care,Fragrance,Deodorant,White,Spring,2017,Casual,David Beckham Signature Men Deos,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/18461.jpg
9036,Men,Footwear,Shoes,Formal Shoes,Black,Winter,2011,Formal,Buckaroo Men Flores Black Formal Shoes,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/9036.jpg
48311,Women,Accessories,Jewellery,Bracelet,Bronze,Winter,2012,Casual,Pitaraa Women Bronze Beaded Bracelet,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/48311.jpg
7990,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011,Sports,Fila Men's Round Neck Navy Blue T-shirt,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/7990.jpg
56019,Women,Personal Care,Lips,Lipstick,Brown,Spring,2017,Casual,Colorbar Soft Touch Show Stopper Copper Lipstick 037,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/56019.jpg
21977,Women,Accessories,Bags,Handbags,Brown,Winter,2015,Casual,Murcia Women Casual Brown Handbag,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/21977.jpg
37812,Men,Apparel,Topwear,Shirts,Navy Blue,Summer,2012,Formal,John Players Men Navy Blue Shirt,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/37812.jpg
4729,Boys,Apparel,Topwear,Tshirts,Green,Summer,2011,Casual,Disney Kids Boy's Crew Sea Life Sialing Green Teen Kidswear,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/4729.jpg
56825,Men,Apparel,Topwear,Shirts,Brown,Summer,2012,Casual,John Players Men Brown Shirt,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/56825.jpg
39988,Men,Footwear,Shoes,Casual Shoes,White,Winter,2014,Casual,Gas Men Europa White Shoes,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/39988.jpg
59051,Women,Footwear,Shoes,Flats,Black,Winter,2012,Casual,Carlton London Women Black & Gold Toned Flats,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/59051.jpg
20099,Women,Apparel,Topwear,Kurtas,Green,Fall,2011,Ethnic,Diva Women Embroided Green Kurta,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/20099.jpg
58183,Women,Accessories,Bags,Handbags,White,Summer,2012,Casual,Rocky S Women White Handbag,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/58183.jpg
29742,Women,Accessories,Bags,Handbags,Teal,Summer,2012,Casual,Kiara Women Teal Handbag,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/29742.jpg
51658,Women,Accessories,Watches,Watches,Copper,Winter,2016,Casual,Fossil Women Copper Chronograph Watch CH2589,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/51658.jpg
3954,Women,Apparel,Topwear,Tshirts,Pink,Summer,2011,Casual,Jealous 21 Women's Pink T-shirt,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/3954.jpg
18839,Men,Accessories,Belts,Belts,Black,Fall,2011,Formal,Peter England Men Formal Black Belt,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/18839.jpg
2886,Women,Footwear,Shoes,Flats,Brown,Winter,2015,Casual,Catwalk Women Leather Brown Flats,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/2886.jpg
23278,Men,Accessories,Watches,Watches,Off White,Winter,2016,Casual,Maxima Ssteele Men Off White Watch,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/23278.jpg
28690,Women,Apparel,Topwear,Kurtas,Beige,Summer,2012,Ethnic,W Women Printed Beige Kurta,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/28690.jpg
8580,Men,Apparel,Topwear,Waistcoat,Grey,Fall,2011,Casual,Scullers Men  Grey Waistcoat,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/8580.jpg
3168,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010,Sports,Nike Men's Incinerate MSL White Blue Shoe,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/3168.jpg
18005,Men,Apparel,Bottomwear,Shorts,Black,Summer,2011,Sports,Puma Men Long Logo Black Bermuda,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/18005.jpg
17871,Men,Apparel,Innerwear,Briefs,Maroon,Winter,2016,Casual,Levis Men Boxer Maroon Brief,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/17871.jpg
9452,Men,Apparel,Topwear,Shirts,Red,Fall,2011,Formal,John Miller Men Stripes White Red Shirts,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/9452.jpg
38402,Women,Accessories,Belts,Belts,Black,Summer,2012,Casual,Baggit Women Hood Dabang Black Belt,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/38402.jpg
44984,Women,Accessories,Watches,Watches,White,Winter,2016,Casual,Maxima Women White Dial Watch,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/44984.jpg
10268,Men,Footwear,Shoes,Formal Shoes,Black,Fall,2012,Formal,Clarks Men Hang Work Leather Black Formal Shoes,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/10268.jpg
45856,Women,Apparel,Topwear,Kurtas,Brown,Summer,2012,Ethnic,Vishudh Women Brown Kurta,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/45856.jpg
32138,Men,Apparel,Innerwear,Briefs,Blue,Summer,2016,Casual,Playboy Men Blue Titanium Briefs,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/32138.jpg
59435,Men,Footwear,Shoes,Formal Shoes,Black,Summer,2012,Formal,Arrow Men Black Formal Shoes,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/59435.jpg
5891,Men,Apparel,Topwear,Tshirts,Black,Summer,2011,Casual,Puma Men's Stripe Polo Black T-shirt,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/5891.jpg
38630,Women,Apparel,Topwear,Tshirts,Purple,Summer,2012,Casual,Nike Women Purple Polo T-shirt,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/38630.jpg
4943,Men,Apparel,Topwear,Shirts,White,Summer,2011,Casual,Gini and Jony Boy's Kaleb White Brown Kidswear,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/4943.jpg
11188,Men,Accessories,Watches,Watches,Silver,Winter,2016,Casual,Carrera Men Dial steel finish strap Silver Watches,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/11188.jpg
10866,Men,Apparel,Topwear,Tshirts,Red,Fall,2011,Casual,Wrangler Men Motor Rider Red T-Shirts,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/10866.jpg
59607,Women,Apparel,Saree,Sarees,Grey,Fall,2012,Ethnic,FNF Pink & Grey Wedding Collection Sari,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/59607.jpg
15528,Men,Apparel,Topwear,Tshirts,Black,Fall,2011,Casual,Puma Men Scribble Black Tshirts,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/15528.jpg
45258,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,CASIO EDIFICE Men Black Dial Chronograph Watch ED60,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/45258.jpg
42841,Women,Accessories,Bags,Handbags,Beige,Summer,2012,Casual,French Connection Women Beige Handbag,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/42841.jpg
22198,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2012,Casual,Timberland Men Black Casual Shoes,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/22198.jpg
29570,Men,Footwear,Shoes,Casual Shoes,Purple,Summer,2012,Casual,Vans Men Classic Slip-On Purple & Black Shoes,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/29570.jpg
43993,Women,Personal Care,Fragrance,Perfume and Body Mist,Pink,Spring,2017,Casual,Police Women Passion Perfume,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/43993.jpg
6628,Men,Footwear,Shoes,Sports Shoes,White,Summer,2011,Sports,ADIDAS Men's Lowell White Silver Shoe,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/6628.jpg
54924,Men,Apparel,Bottomwear,Shorts,Blue,Summer,2012,Casual,Do U Speak Green Men Blue Shorts,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/54924.jpg
26538,Men,Footwear,Shoes,Casual Shoes,Red,Fall,2012,Casual,ID Men Red Shoes,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/26538.jpg
35913,Women,Accessories,Bags,Handbags,Black,Summer,2012,Casual,Peperone Women Black & White Handbag,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/35913.jpg
49495,Men,Footwear,Shoes,Casual Shoes,Khaki,Summer,2012,Casual,Vans Men Khaki Shoes,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/49495.jpg
9660,Men,Apparel,Topwear,Shirts,Pink,Fall,2011,Casual,Indigo Nation Men Reversible Bling Pink Shirts,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/9660.jpg
2288,Women,Apparel,Topwear,Tshirts,Black,Fall,2010,Sports,Nike Women Black T-shirt,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/2288.jpg
23876,Men,Apparel,Topwear,Sweatshirts,Blue,Fall,2011,Casual,ADIDAS Men Blue Sweatshirt,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/23876.jpg
18237,Men,Apparel,Topwear,Tshirts,Red,Fall,2011,Casual,Manchester United Men Solid Red Tshirt,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/18237.jpg
54118,Women,Footwear,Shoes,Heels,Black,Winter,2012,Casual,Rocia Women Black Flats,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/54118.jpg
2872,Women,Footwear,Shoes,Heels,Brown,Winter,2015,Casual,Catwalk Women Leather Flats,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/2872.jpg
49653,Women,Apparel,Topwear,Tops,Green,Summer,2012,Casual,Mineral Women Green Top,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/49653.jpg
8574,Women,Footwear,Sandal,Sandals,Pink,Fall,2011,Casual,Crocs Dora Boots Pink Sandals,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/8574.jpg
16957,Men,Accessories,Eyewear,Sunglasses,Black,Winter,2016,Casual,Image Men Sunglasses,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/16957.jpg
19123,Men,Footwear,Flip Flops,Flip Flops,Silver,Fall,2011,Casual,Lotto Men XL Water Man Silver Slippers,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/19123.jpg
13419,Men,Apparel,Topwear,Tshirts,Pink,Summer,2011,Casual,United Colors of Benetton Men Solid Pink Polo T-shirts,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/13419.jpg
17885,Men,Apparel,Innerwear,Innerwear Vests,Grey,Summer,2016,Casual,Levis Men Comfort Style Grey Innerwear Vest,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/17885.jpg
43369,Men,Footwear,Flip Flops,Flip Flops,Black,Summer,2013,Casual,Reebok Men Black Possession Flip Flops,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/43369.jpg
48781,Women,Accessories,Jewellery,Pendant,Silver,Summer,2012,Casual,Lucera Women Silver Pendant,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/48781.jpg
44970,Men,Accessories,Watches,Watches,White,Winter,2016,Casual,Maxima Men White Dial Analog Chronograph Watch,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/44970.jpg
56489,Women,Personal Care,Nails,Nail Polish,Bronze,Spring,2017,NA,Streetwear Ash Nail Polish # 31,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/56489.jpg
39524,Unisex,Accessories,Bags,Laptop Bag,Orange,Summer,2012,Casual,Peter England Unisex Orange Sleeve Bag,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/39524.jpg
33822,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012,Sports,Puma Men Axis White & Grey Sports Shoes,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/33822.jpg
58513,Women,Apparel,Topwear,Tops,Off White,Summer,2012,Casual,Tonga Women Maroon Top,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/58513.jpg
25947,Women,Accessories,Scarves,Scarves,Brown,Summer,2012,Casual,Femella Women Brown Scarf,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/25947.jpg
52029,Unisex,Apparel,Topwear,Rain Jacket,Coffee Brown,Summer,2012,NA,Just Natural Unisex Charcoal Rain Jacket,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/52029.jpg
5865,Men,Apparel,Topwear,Tshirts,Black,Summer,2011,Casual,ADIDAS Men's Twelve Faster T-shirt,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/5865.jpg
39716,Women,Apparel,Dress,Dresses,Blue,Summer,2012,Casual,Arrow Woman Women Blue Dress,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/39716.jpg
25349,Men,Apparel,Innerwear,Briefs,Red,Summer,2016,Casual,Levis Men Red Brief,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/25349.jpg
11940,Men,Footwear,Sandal,Sandals,Black,Summer,2011,Casual,Ganuchi Men Casual Black Sandals,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/11940.jpg
55802,Women,Apparel,Loungewear and Nightwear,Night suits,White,Summer,2017,Casual,SDL by Sweet Dreams Women Green Printed Night Suit S11-3124,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/55802.jpg
29584,Men,Apparel,Topwear,Tshirts,Black,Summer,2012,Casual,Indigo Nation Men Printed Black T-shirt,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/29584.jpg
43967,Women,Personal Care,Fragrance,Perfume and Body Mist,Red,Spring,2017,Casual,DKNY Women Red Delicious Perfume,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/43967.jpg
28456,Women,Apparel,Bottomwear,Skirts,Blue,Summer,2012,Sports,Urban Yoga Women Blue Skirt With Leggings,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/28456.jpg
34009,Girls,Apparel,Topwear,Tops,Black,Summer,2012,Casual,Gini and Jony Girls Black Top,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/34009.jpg
19311,Men,Footwear,Shoes,Casual Shoes,White,Fall,2011,Casual,Nike Men Air Rift MTR White Casual Shoe,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/19311.jpg
42089,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012,Sports,ADIDAS Men White Corona Sports Shoes,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/42089.jpg
22950,Unisex,Accessories,Watches,Watches,Black,Winter,2016,Casual,Fastrack Unisex Black Dial Watch 9915PP13,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/22950.jpg
49461,Men,Footwear,Shoes,Casual Shoes,Blue,Summer,2012,Casual,Vans Men Blue Era Scilla Plaid Shoes,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/49461.jpg
8746,Unisex,Footwear,Flip Flops,Flip Flops,Navy Blue,Summer,2015,Casual,Crocs Kids Navy Blue Clogs,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/8746.jpg
9694,Men,Apparel,Topwear,Tshirts,White,Fall,2011,Casual,Classic Polo Men Vulcan White Polo Tshirts,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/9694.jpg
23882,Men,Footwear,Shoes,Sports Shoes,Grey,Fall,2011,Sports,Fila Men Destiny Grey Sports Shoes,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/23882.jpg
34835,Men,Footwear,Shoes,Sports Shoes,Blue,Summer,2012,Sports,ADIDAS Men Blue Chill Sports Shoes,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/34835.jpg
15984,Men,Apparel,Topwear,Shirts,Yellow,Fall,2011,Casual,Turtle Check Men Yellow Shirt,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/15984.jpg
41268,Men,Accessories,Wallets,Wallets,Black,Summer,2012,Casual,Arrow Men Black Wallet,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/41268.jpg
11518,Women,Footwear,Shoes,Heels,Grey,Winter,2015,Casual,Catwalk Women Gun Metal Grey Heels,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/11518.jpg
14856,Women,Accessories,Wallets,Wallets,Beige,Summer,2011,Casual,United Colors of Benetton Women Solid Beige Wallets,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/14856.jpg
33648,Men,Footwear,Sandal,Sandals,Brown,Summer,2012,Casual,Lotto Men Ridge Brown Sandals,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/33648.jpg
59297,Men,Apparel,Topwear,Shirts,White,Fall,2012,Casual,U.S. Polo Assn. Men White & Navy Blue Shirt,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/59297.jpg
28032,Men,Apparel,Innerwear,Briefs,White,Summer,2016,Casual,Jockey ELANCE Men Bikini White Brief 1005,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/28032.jpg
27846,Women,Apparel,Topwear,Blazers,Charcoal,Summer,2012,Formal,Scullers For Her Charcoal Blazer,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/27846.jpg
26994,Women,Apparel,Bottomwear,Jeans,Black,Summer,2012,Casual,Jealous 21 Women Black Jeans,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/26994.jpg
49839,Women,Footwear,Flip Flops,Flip Flops,Red,Winter,2012,Casual,iPanema Women Red Flip Flops,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/49839.jpg
31923,Women,Accessories,Bags,Handbags,Blue,Summer,2012,Casual,Fabindia Women Blue Silk Sling Bag,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/31923.jpg
2618,Women,Footwear,Shoes,Flats,Silver,Spring,2010,Casual,Carlton London Women Silver Wedge Sandal,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/2618.jpg
54588,Women,Apparel,Topwear,Kurtas,Green,Summer,2012,Ethnic,Sushilas Women Printed Green Kurta,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/54588.jpg
49005,Women,Accessories,Jewellery,Ring,Silver,Summer,2012,Casual,Lucera Women Silver Ring,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/49005.jpg
8322,Boys,Apparel,Topwear,Tshirts,Blue,Fall,2011,Casual,Doodle Boy's Route 66 Biker Blue Teen Kidswear,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/8322.jpg
13841,Unisex,Accessories,Watches,Watches,White,Winter,2016,Casual,ADIDAS Unisex Three Small Dials White Watches,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/13841.jpg
28200,Men,Accessories,Eyewear,Sunglasses,Copper,Winter,2016,Casual,Ray-Ban Men Active Lifestyle Copper Sunglasses,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/28200.jpg
12993,Unisex,Footwear,Shoes,Sports Shoes,Black,Fall,2011,Sports,ADIDAS Kids Adispeed Black Sports Shoes,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/12993.jpg
7158,Men,Apparel,Topwear,Shirts,Green,Fall,2011,Casual,Scullers Men  Green Check Shirt,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/7158.jpg
18495,Men,Footwear,Sandal,Sandals,White,Fall,2011,Casual,Puma Men Fashion Cat White Slipper,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/18495.jpg
8110,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,Fastrack Men Economy 2 Analg Black Watch,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/8110.jpg
19547,Men,Apparel,Topwear,Sweatshirts,Blue,Fall,2011,Casual,United Colors of Benetton Men Solid Blue Sweatshirt,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/19547.jpg
